notionPageId,company,website,location,category,reach,pipelineStatus,automationStatus,dataQuality,hasEmail,hasPhone,hasDraft,hasSentMessage,hasReply,hasFollowUpDraft,hasError,sentAt,lastContacted,lastUpdated,followUpCreatedAt,replyDetectedAt,dataSource,automationError
35df938c-c271-80c0-8fef-cc766f4c63a2,,https://www.alm-konstanz.de/,,,,Lead,Fehler,,true,true,true,false,false,false,true,,,,,,,invalid_grant
35af938c-c271-8018-9c35-db58d1cc1313,AbenteuerPark Immenstaad,https://www.abenteuerpark.com/,,,,Lead,Fehler,Teilweise,true,true,true,false,false,false,true,,,2026-05-12T23:45:00.000+00:00,,,https://abenteuerpark.com/ https://abenteuerpark.com/impressum/,invalid_grant
358f938c-c271-80d2-bcbd-ea026c83bd2c,Affenberg Salem,https://www.affenberg-salem.de/,,,,Closed-Lost,Fehler,,true,true,true,false,false,false,true,,,,,,,invalid_grant
35df938c-c271-8065-b629-f78843023eb6,Archäologische Landesmuseum Baden-Württemberg,https://www.alm-konstanz.de/museum,,,,Lead,Prüfen,Unvollständig,true,true,false,false,false,false,true,,,2026-05-11T20:24:00.000+00:00,,,https://www.alm-konstanz.de/ueber-uns/impressum https://www.alm-konstanz.de/museum https://www.alm-konstanz.de/presse,Möglicher Duplikat-Lead. Bitte manuell prüfen.
359f938c-c271-804d-a3f2-c57db3ef5914,Arena Fun Indoor Park,https://www.arena-vs.de/,,,,E-Mail / Contacted,Fehler,,true,true,true,false,false,false,true,,,,,,,invalid_grant
361f938c-c271-8093-9eab-fb0b66ad5d43,Augustinermuseum Freiburg,https://museen.freiburg.de/museen/am,,,,Lead,Fehler,Vollständig,true,true,true,false,false,false,true,,,2026-05-15T20:43:00.000+00:00,,,https://museen.freiburg.de/museen/am https://museen.freiburg.de/contact https://museen.freiburg.de/kontakt https://museen.freiburg.de/impressum https://museen.freiburg.de/presse https://museen.freiburg.de/press,invalid_grant
35df938c-c271-809d-a17c-dd2d04f758c6,auto und traktor museum,https://www.autoundtraktor.museum/,,,,E-Mail / Contacted,Fehler,Vollständig,true,true,true,true,false,false,true,2026-05-11T20:35:00.000+00:00,2026-05-11T20:35:00.000+00:00,2026-05-11T20:24:00.000+00:00,,,https://www.autoundtraktor.museum/ https://www.autoundtraktor.museum/impressum/,invalid_grant
35ef938c-c271-809f-9195-d03c7a16e403,autobau erlebniswelt,https://www.autobau.ch/de/,,,,Reply,Fehler,Vollständig,true,true,true,true,false,false,true,2026-05-12T20:03:00.000+00:00,2026-05-12T20:03:00.000+00:00,2026-05-12T19:52:00.000+00:00,,,https://www.autobau.ch/de/ https://www.autobau.ch/de/impressum/ https://www.autobau.ch/de/presse/,invalid_grant
35ef938c-c271-804c-9610-f76474ac59c3,Bauernhaus-MuseumAllgäu-Oberschwaben Wolfegg,https://www.bauernhaus-museum.de/,,,,E-Mail / Contacted,Fehler,Vollständig,true,true,true,true,false,false,true,2026-05-12T20:07:00.000+00:00,2026-05-12T20:07:00.000+00:00,2026-05-12T19:52:00.000+00:00,,,https://www.bauernhaus-museum.de/presse-downloads/ https://www.bauernhaus-museum.de/ https://www.bauernhaus-museum.de/kontakt/ https://www.bauernhaus-museum.de/impressum/,invalid_grant
361f938c-c271-80e2-99fa-c9fc5f792600,BMW Museum,https://www.bmw-welt.com/,,,,Lead,Prüfen,Teilweise,false,true,false,false,false,false,false,,,2026-05-15T20:42:00.000+00:00,,,https://www.bmw-welt.com/de/index.html,
35af938c-c271-80ad-9bf5-db9da24ef68e,Bodensee Kartbahn,https://www.adac-kartbahn-steisslingen.de/,,,,E-Mail / Contacted,Fehler,Unvollständig,true,true,true,true,false,false,true,2026-05-11,2026-05-11,2026-05-11T20:24:00.000+00:00,,,https://www.adac-kartbahn-steisslingen.de/,invalid_grant
35ef938c-c271-808e-ac8b-cba526c5d648,Bodensee Planetarium,https://bodensee-planetarium.ch/,,,,Lead,Prüfen,Teilweise,false,true,false,false,false,false,false,,,2026-05-18T12:07:00.000+00:00,,,https://bodensee-planetarium.ch/,
